team_name,team_id,month,total_market,competitor_demand,firm_demand,competitor_price,beginning_inventory,arrival_qty,units_sold,ending_inventory,in_transit,production_order,pipeline_units,months_of_cover,forecast_error,service_level,revenue_amt,cogs_amt,inventory_holding_amt,stockout_penalty_amt,forecast_made,price,ai_price,ai_forecast_qty,ai_production_order,unit_cost,revenue_growth,gross_margin,operating_profit,market_share,ms_momentum,ms_momentum_3mo,rpi,missed_demand,stockout_rate,fill_rate,ape,forecast_accuracy,mape,forecast_accuracy_avg,forecast_bias,avg_inventory,inventory_turnover,inventory_turnover_annualized,price_elasticity,cps,ppi
Team 2A,3,8,322.0,172,150,68.0,72,100,150,22,300,250,322.0,2.576,25,1.0,11700.0,7500.0,220.0,0.0,125,78.0,76.0,234,300,50.0,-0.03177755710029795,0.358974358974359,3980.0,0.4658385093167702,-0.12744507277278205,-0.01884985012824077,0.14705882352941177,0,0.0,1.0,0.16666666666666666,0.8333333333333334,0.2090517845603146,0.7909482154396854,11.166666666666666,47.0,159.5744680851064,1914.8936170212767,-2.150943396226408,0.018741922466585598,0.31839631716294203
Team 2A,3,9,384.0,259,125,70.0,22,50,72,0,350,100,350.0,5.384615384615385,60,0.576,6840.0,3600.0,0.0,1060.0,65,95.0,73.0,177,0,50.0,-0.41538461538461535,0.47368421052631576,2180.0,0.3255208333333333,-0.14031767598343686,-0.05002964092140921,0.35714285714285715,53,0.424,0.576,0.48,0.52,0.2090517845603146,0.7909482154396854,11.166666666666666,11.0,327.27272727272725,3927.272727272727,-0.7647058823529413,0.05011345570837031,0.23926850474176192
Team 2A,3,10,302.0,139,163,70.0,0,250,163,87,250,150,337.0,1.497777777777778,-62,1.0,11084.0,8150.0,870.0,0.0,225,68.0,82.0,222,550,50.0,0.62046783625731,0.2647058823529412,2064.0,0.5397350993377483,0.214214266004415,-0.0178494942506013,-0.02857142857142857,0,0.0,1.0,0.3803680981595092,0.6196319018404908,0.2090517845603146,0.7909482154396854,11.166666666666666,43.5,187.35632183908046,2248.2758620689656,-1.0696296296296297,0.006120407600126143,0.2647058823529412
Team 2A,3,11,350.0,186,164,70.0,87,100,164,23,150,0,173.0,0.9251336898395722,-23,1.0,11972.0,8200.0,230.0,0.0,187,73.0,66.0,187,450,50.0,0.0801154817755323,0.3150684931506849,3542.0,0.4685714285714286,-0.07116367076631974,0.0009109730848861353,0.04285714285714286,0,0.0,1.0,0.1402439024390244,0.8597560975609756,0.2090517845603146,0.7909482154396854,11.166666666666666,55.0,149.0909090909091,1789.090909090909,0.08343558282208545,0.003049871604270846,0.29413664946766
Team 2A,3,12,400.0,187,213,70.0,23,150,173,0,0,0,0.0,0.0,40,0.812206572769953,11764.0,8650.0,0.0,800.0,173,68.0,71.0,207,550,50.0,-0.017373872368860677,0.2647058823529412,2314.0,0.5325,0.06392857142857139,0.06899305555555556,-0.02857142857142857,40,0.18779342723004694,0.812206572769953,0.18779342723004694,0.812206572769953,0.2090517845603146,0.7909482154396854,11.166666666666666,11.5,752.1739130434783,9026.08695652174,-4.362195121951217,0.0018265306122448967,0.21499585749792874
Team 2B,4,1,66.0,29,37,100.0,100,0,37,63,99,99,162.0,3.24,-13,1.0,2775.0,1850.0,630.0,0.0,50,75.0,100.0,33,100,50.0,,0.3333333333333333,295.0,0.5606060606060606,,,-0.25,0,0.0,1.0,0.35135135135135137,0.6486486486486487,0.3468844905256343,0.6531155094743657,-11.833333333333334,81.5,22.699386503067483,272.3926380368098,,,
Team 2B,4,2,84.0,51,33,67.0,63,0,33,30,114,15,144.0,4.5,1,1.0,2805.0,1650.0,300.0,0.0,32,85.0,75.0,29,0,50.0,0.0108108108108107,0.4117647058823529,855.0,0.39285714285714285,-0.1677489177489177,,0.26865671641791045,0,0.0,1.0,0.030303030303030304,0.9696969696969697,0.3468844905256343,0.6531155094743657,-11.833333333333334,46.5,35.483870967741936,425.80645161290323,-0.8108108108108111,0.045066873425082365,0.3526140762143597
Team 2B,4,3,104.0,21,83,67.0,30,99,83,46,125,110,171.0,3.1666666666666665,29,1.0,4150.0,4150.0,460.0,0.0,54,50.0,85.0,47,100,50.0,0.47950089126559714,0.0,-460.0,0.7980769230769231,0.4052197802197803,,-0.2537313432835821,0,0.0,1.0,0.3493975903614458,0.6506024096385542,0.3468844905256343,0.6531155094743657,-11.833333333333334,38.0,109.21052631578948,1310.5263157894738,-3.6796536796536796,0.10281695916024276,0.0
Team 2B,4,4,108.0,42,66,60.0,46,15,61,0,280,170,280.0,2.88659793814433,-31,0.9242424242424242,3660.0,3050.0,0.0,100.0,97,60.0,60.0,97,250,50.0,-0.11807228915662649,0.16666666666666666,510.0,0.6111111111111112,-0.18696581196581197,0.01683501683501687,0.0,5,0.07575757575757576,0.9242424242424242,0.4696969696969697,0.5303030303030303,0.3468844905256343,0.6531155094743657,-11.833333333333334,23.0,132.6086956521739,1591.304347826087,-1.024096385542169,0.0,0.12977661402503887
Team 2B,4,5,134.0,85,49,60.0,0,110,49,61,360,190,421.0,4.677777777777778,-41,1.0,3920.0,2450.0,610.0,0.0,90,80.0,60.0,52,100,50.0,0.0710382513661203,0.375,860.0,0.3656716417910448,-0.24543946932006638,-0.009061833688699358,0.3333333333333333,0,0.0,1.0,0.8367346938775511,0.16326530612244894,0.3468844905256343,0.6531155094743657,-11.833333333333334,30.5,80.32786885245902,963.9344262295083,-0.7727272727272729,0.08181315644002213,0.30109853528628494
